0,3800
10000,113677600
20000,521257900
30000,1090226000
40000,1980568400
50000,3072002700
60000,4473025700
70000,6099779800
80000,7890401800
90000,9982582500
100000,12355478000
110000,14923651500
120000,17755965700
130000,20826750300
140000,24139920300
150000,27718894300
160000,31647153300
170000,35714656100
180000,40035131700
190000,45641150900
200000,51019426100
210000,56709621500
220000,62475750500
230000,67049691600
240000,72964920400
250000,80373099400
260000,86175924200
270000,92144902200
280000,99340604600
290000,106084611900
300000,114794230400
310000,121208474000
320000,129502113000
330000,137570530700
340000,146150516600
350000,154608731500
360000,165834671100
370000,175073642800
380000,188850986200
390000,196160784800
400000,208945575100
410000,217053261000
420000,228045602700
430000,240910590500
440000,249415780100
450000,264719225900
460000,271612179100
470000,282161519600
480000,298000001800
490000,319287191600
500000,321253367500
